row_id,INT NOT NULL AUTO_INCREMENT,
settlementdate,DATETIME NOT NULL,KEY
runno,"NUMERIC(3,0)",KEY
regionid,VARCHAR(10),KEY
intervention,"NUMERIC(2,0)",KEY
rrp,"NUMERIC(15,5)",
eep,"NUMERIC(15,5)",
rop,"NUMERIC(15,5)",
apcflag,"NUMERIC(3,0)",
marketsuspendedflag,"NUMERIC(3,0)",
totaldemand,"NUMERIC(15,5)",
demandforecast,"NUMERIC(15,5)",
dispatchablegeneration,"NUMERIC(15,5)",
dispatchableload,"NUMERIC(15,5)",
netinterchange,"NUMERIC(15,5)",
excessgeneration,"NUMERIC(15,5)",
lower5mindispatch,"NUMERIC(15,5)",
lower5minimport,"NUMERIC(15,5)",
lower5minlocaldispatch,"NUMERIC(15,5)",
lower5minlocalprice,"NUMERIC(15,5)",
lower5minlocalreq,"NUMERIC(15,5)",
lower5minprice,"NUMERIC(15,5)",
lower5minreq,"NUMERIC(15,5)",
lower5minsupplyprice,"NUMERIC(15,5)",
lower60secdispatch,"NUMERIC(15,5)",
lower60secimport,"NUMERIC(15,5)",
lower60seclocaldispatch,"NUMERIC(15,5)",
lower60seclocalprice,"NUMERIC(15,5)",
lower60seclocalreq,"NUMERIC(15,5)",
lower60secprice,"NUMERIC(15,5)",
lower60secreq,"NUMERIC(15,5)",
lower60secsupplyprice,"NUMERIC(15,5)",
lower6secdispatch,"NUMERIC(15,5)",
lower6secimport,"NUMERIC(15,5)",
lower6seclocaldispatch,"NUMERIC(15,5)",
lower6seclocalprice,"NUMERIC(15,5)",
lower6seclocalreq,"NUMERIC(15,5)",
lower6secprice,"NUMERIC(15,5)",
lower6secreq,"NUMERIC(15,5)",
lower6secsupplyprice,"NUMERIC(15,5)",
raise5mindispatch,"NUMERIC(15,5)",
raise5minimport,"NUMERIC(15,5)",
raise5minlocaldispatch,"NUMERIC(15,5)",
raise5minlocalprice,"NUMERIC(15,5)",
raise5minlocalreq,"NUMERIC(15,5)",
raise5minprice,"NUMERIC(15,5)",
raise5minreq,"NUMERIC(15,5)",
raise5minsupplyprice,"NUMERIC(15,5)",
raise60secdispatch,"NUMERIC(15,5)",
raise60secimport,"NUMERIC(15,5)",
raise60seclocaldispatch,"NUMERIC(15,5)",
raise60seclocalprice,"NUMERIC(15,5)",
raise60seclocalreq,"NUMERIC(15,5)",
raise60secprice,"NUMERIC(15,5)",
raise60secreq,"NUMERIC(15,5)",
raise60secsupplyprice,"NUMERIC(15,5)",
raise6secdispatch,"NUMERIC(15,5)",
raise6secimport,"NUMERIC(15,5)",
raise6seclocaldispatch,"NUMERIC(15,5)",
raise6seclocalprice,"NUMERIC(15,5)",
raise6seclocalreq,"NUMERIC(15,5)",
raise6secprice,"NUMERIC(15,5)",
raise6secreq,"NUMERIC(15,5)",
raise6secsupplyprice,"NUMERIC(15,5)",
aggregatedispatcherror,"NUMERIC(15,5)",
availablegeneration,"NUMERIC(15,5)",
availableload,"NUMERIC(15,5)",
initialsupply,"NUMERIC(15,5)",
clearedsupply,"NUMERIC(15,5)",
lowerregimport,"NUMERIC(15,5)",
lowerreglocaldispatch,"NUMERIC(15,5)",
lowerreglocalreq,"NUMERIC(15,5)",
lowerregreq,"NUMERIC(15,5)",
raiseregimport,"NUMERIC(15,5)",
raisereglocaldispatch,"NUMERIC(15,5)",
raisereglocalreq,"NUMERIC(15,5)",
raiseregreq,"NUMERIC(15,5)",
raise5minlocalviolation,"NUMERIC(15,5)",
raisereglocalviolation,"NUMERIC(15,5)",
raise60seclocalviolation,"NUMERIC(15,5)",
raise6seclocalviolation,"NUMERIC(15,5)",
lower5minlocalviolation,"NUMERIC(15,5)",
lowerreglocalviolation,"NUMERIC(15,5)",
lower60seclocalviolation,"NUMERIC(15,5)",
lower6seclocalviolation,"NUMERIC(15,5)",
raise5minviolation,"NUMERIC(15,5)",
raiseregviolation,"NUMERIC(15,5)",
raise60secviolation,"NUMERIC(15,5)",
raise6secviolation,"NUMERIC(15,5)",
lower5minviolation,"NUMERIC(15,5)",
lowerregviolation,"NUMERIC(15,5)",
lower60secviolation,"NUMERIC(15,5)",
lower6secviolation,"NUMERIC(15,5)",
raise6secrrp,"NUMERIC(15,5)",
raise6secrop,"NUMERIC(15,5)",
raise6secapcflag,"NUMERIC(3,0)",
raise60secrrp,"NUMERIC(15,5)",
raise60secrop,"NUMERIC(15,5)",
raise60secapcflag,"NUMERIC(3,0)",
raise5minrrp,"NUMERIC(15,5)",
raise5minrop,"NUMERIC(15,5)",
raise5minapcflag,"NUMERIC(3,0)",
raiseregrrp,"NUMERIC(15,5)",
raiseregrop,"NUMERIC(15,5)",
raiseregapcflag,"NUMERIC(3,0)",
lower6secrrp,"NUMERIC(15,5)",
lower6secrop,"NUMERIC(15,5)",
lower6secapcflag,"NUMERIC(3,0)",
lower60secrrp,"NUMERIC(15,5)",
lower60secrop,"NUMERIC(15,5)",
lower60secapcflag,"NUMERIC(3,0)",
lower5minrrp,"NUMERIC(15,5)",
lower5minrop,"NUMERIC(15,5)",
lower5minapcflag,"NUMERIC(3,0)",
lowerregrrp,"NUMERIC(15,5)",
lowerregrop,"NUMERIC(15,5)",
lowerregapcflag,"NUMERIC(3,0)",
